TLC/D,ALCL, numsyl, avgchar,awl,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class_y
34,3,1.62,4.81,0.1162,22,198,79,150,74,363,103,194,94,0.53,0.48,0.4,0.43,10.29,2.27,198,42,42.7,39.2,0.55,0.82,7.35,10.39,0.9,24.89,0.77,0.8,36.16,4.25,0.23,0.73,0.1,0.02,0.12,355,22,51,32,23,12,11,10,41,16.1364,15.4348,11.0938,1.4545,2.2174,1.3913,0.375,0.5217,1.0455,0.4783,0.4348,0.3125,1.7826,1.2812,4
20,3,1.54,4.56,0.1379,20,159,74,115,71,294,112,165,107,0.56,0.65,0.47,0.47,11.79,2.43,159,36,42.2,39.1,0.54,0.76,6.56,9.27,0.89,22.82,0.7,0.68,24.45,3.5,0.22,0.68,0.09,0.01,0.1,291,21,38,26,21,8,7,8,33,13.8571,13.8571,11.1923,1.2381,1.8095,1.2381,0.3077,0.381,1,0.3333,0.381,0.3077,1.5714,1.2692,4
20,2,1.52,4.42,0.058,15,159,72,114,64,257,89,142,78,0.55,0.55,0.45,0.47,9.3,2.16,159,39,43.2,40.8,0.62,0.79,7.01,9.92,0.91,27.85,0.8,0.77,25.33,3.56,0.23,0.79,0.14,0.03,0.17,253,15,35,22,16,8,7,15,19,16.8667,15.8125,11.5,1.4667,2.1875,1.375,0.3636,0.5,1.0667,0.4375,0.9375,0.6818,1.1875,0.8636,4
32,4,1.55,4.58,0.0944,24,213,96,154,87,407,143,218,122,0.54,0.56,0.45,0.41,10.73,2.32,213,34,42.8,40.6,0.52,0.78,7.47,10.56,0.89,24.22,0.71,0.73,33.59,4.1,0.21,0.68,0.11,0.01,0.13,396,24,52,34,24,15,9,15,43,16.5,16.5,11.6471,1.4167,2.1667,1.4167,0.4412,0.625,1,0.375,0.625,0.4412,1.7917,1.2647,4
41,4,1.59,4.84,0.1011,27,260,114,198,107,499,159,297,145,0.6,0.49,0.44,0.34,9.45,2.17,260,41,43.4,42,0.52,0.85,8.23,11.64,0.9,25.71,0.67,0.66,36.45,4.27,0.19,0.66,0.12,0.02,0.14,493,27,69,47,29,21,13,14,63,18.2593,17,10.4894,1.7407,2.3793,1.6207,0.4468,0.7241,1.0741,0.4483,0.4828,0.2979,2.1724,1.3404,4
13,3,1.52,4.57,0.1274,13,134,54,93,51,236,77,123,68,0.52,0.55,0.4,0.43,6.92,1.86,134,42,41,39.4,0.57,0.82,6.17,8.72,0.9,22.91,0.76,0.84,25.97,3.6,0.25,0.7,0.13,0,0.13,228,13,28,15,12,5,5,10,25,17.5385,19,15.2,1.1538,2.3333,1.25,0.3333,0.4167,0.9231,0.4167,0.8333,0.6667,2.0833,1.6667,4
36,3,1.59,4.75,0.0307,29,197,70,138,68,474,145,266,136,0.56,0.51,0.36,0.3,8.1,2.01,197,38,41.3,40.8,0.42,0.81,6.4,9.05,0.86,18.78,0.52,0.52,24.54,3.5,0.18,0.5,0.08,0.01,0.09,474,29,72,44,29,17,12,8,61,16.3448,16.3448,10.7727,1.5172,2.4828,1.5172,0.3864,0.5862,1,0.4138,0.2759,0.1818,2.1034,1.3864,4
5,2,1.72,5.21,0.0213,2,90,52,72,51,111,56,76,54,0.68,0.71,0.58,0.67,2.67,1.15,90,46,44.7,43.2,0.81,0.88,6.04,8.54,0.96,45.93,0.95,1,6,1.73,0.08,0.94,0.04,0,0.04,111,2,4,2,2,1,0,4,12,55.5,55.5,55.5,1,2,1,0.5,0.5,1,0,2,2,6,6,4
18,3,1.55,4.45,0.24,13,127,45,89,42,219,71,130,66,0.59,0.51,0.35,0.44,6.12,1.75,127,37,41,38,0.58,0.75,6.07,8.58,0.9,23.15,0.68,0.78,19.53,3.12,0.19,0.59,0.15,0.02,0.18,215,13,28,18,16,3,3,8,23,16.5385,13.4375,11.9444,1.3846,1.75,1.125,0.1667,0.1875,1.2308,0.1875,0.5,0.4444,1.4375,1.2778,4
27,4,1.47,4.58,0.2189,21,154,57,104,52,338,79,159,71,0.47,0.45,0.37,0.42,8.02,2,154,40,38,35.9,0.46,0.77,5.92,8.38,0.87,18.73,0.65,0.82,30.42,3.9,0.23,0.59,0.08,0,0.08,332,21,37,24,20,7,4,13,30,15.8095,16.6,13.8333,1.1429,1.85,1.2,0.2917,0.35,0.9524,0.2,0.65,0.5417,1.5,1.25,4
8,2,1.49,4.49,0.1224,11,102,34,66,31,159,43,81,38,0.51,0.47,0.33,0.38,3.85,1.39,102,43,41.3,41.5,0.64,0.81,5.72,8.09,0.91,25.14,0.81,0.88,20.35,3.19,0.28,0.75,0.14,0.02,0.16,155,11,24,15,11,8,5,4,14,14.0909,14.0909,10.3333,1.3636,2.1818,1.3636,0.5333,0.7273,1,0.4545,0.3636,0.2667,1.2727,0.9333,4
10,2,1.54,4.62,0.13,9,75,27,47,23,115,36,64,29,0.56,0.45,0.36,0.33,2,1,75,37,41.3,39.4,0.65,0.75,4.95,6.99,0.91,22.88,0.73,0.78,10.89,2.33,0.22,0.7,0.16,0,0.16,111,9,17,10,9,5,3,5,11,12.3333,12.3333,11.1,1.1111,1.8889,1.1111,0.5,0.5556,1,0.3333,0.5556,0.5,1.2222,1.1,4
12,3,1.56,4.65,0.1489,12,113,46,83,41,173,59,101,48,0.58,0.48,0.41,0.48,5.76,1.7,113,41,42,41.9,0.65,0.8,6.07,8.59,0.92,27.08,0.82,0.84,17.64,2.97,0.21,0.81,0.13,0.02,0.15,161,12,23,13,13,4,4,7,17,13.4167,12.3846,12.3846,1.0833,1.7692,1,0.3077,0.3077,1.0833,0.3077,0.5385,0.5385,1.3077,1.3077,4
24,3,1.71,4.98,0.1506,15,173,75,129,71,294,104,170,96,0.58,0.56,0.43,0.46,10.08,2.25,173,38,41.3,41.8,0.59,0.82,7.13,10.09,0.91,26.46,0.76,0.79,30.08,3.88,0.22,0.72,0.16,0.03,0.19,288,15,37,20,15,6,7,8,38,19.2,19.2,14.4,1.3333,2.4667,1.3333,0.3,0.4,1,0.4667,0.5333,0.4,2.5333,1.9,4
33,3,1.58,4.86,0.1295,29,201,94,149,90,415,135,227,129,0.55,0.57,0.47,0.47,15.06,2.74,201,38,40.8,36.7,0.48,0.76,6.98,9.87,0.88,21.77,0.66,0.69,32.49,4.03,0.21,0.62,0.09,0.03,0.12,411,29,64,49,28,26,15,11,37,14.1724,14.6786,8.3878,1.6897,2.2857,1.75,0.5306,0.9286,0.9655,0.5357,0.3929,0.2245,1.3214,0.7551,4
27,4,1.6,4.76,0.1212,18,137,59,105,56,227,85,147,80,0.65,0.54,0.43,0.34,4.11,1.43,137,40,41.4,40.2,0.6,0.81,6.43,9.09,0.91,25.31,0.71,0.71,17.86,2.99,0.17,0.69,0.12,0.01,0.14,223,18,30,20,17,5,5,9,27,12.3889,13.1176,11.15,1.1111,1.7647,1.1765,0.25,0.2941,0.9444,0.2941,0.5294,0.45,1.5882,1.35,4
17,2,1.6,4.83,0.1321,11,131,53,89,50,229,80,125,75,0.55,0.6,0.4,0.5,8.5,2.06,131,41,42.3,39,0.57,0.78,6.12,8.66,0.9,22.96,0.71,0.85,24.74,3.52,0.23,0.64,0.14,0,0.14,227,11,28,18,13,7,6,8,24,20.6364,17.4615,12.6111,1.6364,2.1538,1.3846,0.3889,0.5385,1.1818,0.4615,0.6154,0.4444,1.8462,1.3333,4
19,4,1.53,4.53,0.1262,16,147,62,103,58,244,81,135,73,0.55,0.54,0.42,0.31,3.36,1.3,147,39,42.8,40.8,0.6,0.82,6.65,9.41,0.91,25.9,0.76,0.75,20.25,3.18,0.2,0.74,0.12,0.01,0.13,238,16,30,17,14,6,6,12,24,14.875,17,14,1.0625,2.1429,1.2143,0.3529,0.4286,0.875,0.4286,0.8571,0.7059,1.7143,1.4118,4
25,3,1.5,4.48,0.15,17,144,53,100,48,275,88,147,74,0.53,0.5,0.37,0.38,5.3,1.63,144,39,40,38.1,0.52,0.76,6.14,8.68,0.88,21.18,0.68,0.7,18.27,3.02,0.18,0.69,0.14,0.01,0.16,264,17,30,19,17,5,5,7,33,15.5294,15.5294,13.8947,1.1176,1.7647,1.1176,0.2632,0.2941,1,0.2941,0.4118,0.3684,1.9412,1.7368,4
20,3,1.56,4.68,0.084,19,139,53,101,50,260,73,135,68,0.52,0.5,0.38,0.46,7.31,1.91,139,35,38.7,37.8,0.53,0.74,6.1,8.62,0.89,21.44,0.75,0.8,22.4,3.35,0.21,0.69,0.13,0.01,0.15,256,19,35,26,19,9,9,6,31,13.4737,13.4737,9.8462,1.3684,1.8421,1.3684,0.3462,0.4737,1,0.4737,0.3158,0.2308,1.6316,1.1923,4
11,2,1.6,4.71,0.1048,12,100,40,72,36,147,47,88,41,0.6,0.47,0.4,0.44,3.56,1.33,100,43,42.6,40.7,0.68,0.87,5.83,8.25,0.92,28.07,0.82,0.89,14.22,2.67,0.18,0.81,0.12,0.01,0.14,141,12,19,12,11,4,4,7,18,11.75,12.8182,11.75,1,1.7273,1.0909,0.3333,0.3636,0.9167,0.3636,0.6364,0.5833,1.6364,1.5,4
16,2,1.73,5.19,0.1263,16,130,49,92,46,204,63,118,58,0.58,0.49,0.38,0.45,6.82,1.85,130,40,42.8,41.2,0.64,0.8,6.44,9.1,0.92,27.26,0.78,0.85,23.76,3.45,0.24,0.74,0.14,0.03,0.17,200,16,28,18,17,4,4,9,19,12.5,11.7647,11.1111,1.125,1.6471,1.0588,0.2222,0.2353,1.0625,0.2353,0.5294,0.5,1.1176,1.0556,4
20,3,1.41,4.34,0.1444,20,159,58,109,51,301,83,158,69,0.52,0.44,0.36,0.31,5.49,1.66,159,41,42.3,38.8,0.53,0.79,6.48,9.16,0.89,22.16,0.69,0.66,25.78,3.59,0.25,0.73,0.08,0.03,0.11,295,20,50,31,22,16,12,10,34,14.75,13.4091,9.5161,1.55,2.2727,1.4091,0.5161,0.7273,1.1,0.5455,0.4545,0.3226,1.5455,1.0968,4
54,7,1.56,4.82,0.091,64,326,127,240,118,968,279,507,254,0.52,0.5,0.39,0.31,16.86,2.9,326,41,41.9,40.1,0.34,0.8,7.41,10.48,0.84,18.86,0.47,0.49,41.76,4.57,0.17,0.42,0.08,0.02,0.1,960,64,156,116,72,49,32,22,93,15,13.3333,8.2759,1.8125,2.1667,1.6111,0.4224,0.6806,1.125,0.4444,0.3056,0.1897,1.2917,0.8017,4
6,2,1.6,4.71,0.2283,6,69,21,44,19,102,30,57,26,0.56,0.46,0.3,0.43,2.57,1.13,69,43,41.7,38.4,0.68,0.78,4.83,6.83,0.92,23.77,0.77,0.93,12.07,2.46,0.23,0.71,0.16,0,0.16,98,6,13,7,6,3,3,4,10,16.3333,16.3333,14,1.1667,2.1667,1.1667,0.4286,0.5,1,0.5,0.6667,0.5714,1.6667,1.4286,4
2,2,1.6,4.65,0.15,1,14,3,10,3,24,5,16,5,0.67,0.31,0.21,0.25,0.25,0.35,14,14,14,14,0.58,0.58,2.02,2.86,0.83,8.14,0.62,0.75,2.25,1.06,0.19,0.6,0.06,0,0.06,25,1,4,2,0,2,0,1,4,25,0,12.5,2,0,0,1,0,0,0,0,0.5,0,2,4
5,2,1.73,4.92,0.2333,4,51,24,35,21,75,31,43,27,0.57,0.63,0.47,0.9,8.1,2.01,51,40,37.4,38.6,0.68,0.8,4.16,5.89,0.91,20.99,0.81,1,10,2.24,0.23,0.73,0.05,0.02,0.07,71,4,7,4,4,0,0,4,9,17.75,17.75,17.75,1,1.75,1,0,0,1,0,1,1,2.25,2.25,4
31,4,1.5,4.49,0.0885,36,210,89,158,83,526,170,285,156,0.54,0.55,0.42,0.26,7.76,1.97,210,39,38.5,36.9,0.4,0.74,6.47,9.16,0.85,18.57,0.55,0.44,22.42,3.35,0.18,0.61,0.11,0.01,0.12,516,36,87,55,37,20,14,19,53,14.3333,13.9459,9.3818,1.5278,2.3514,1.4865,0.3636,0.5405,1.0278,0.3784,0.5135,0.3455,1.4324,0.9636,4
31,5,1.71,4.93,0.2342,19,196,94,149,90,418,172,232,154,0.56,0.66,0.48,0.43,9.8,2.21,196,39,40.6,36,0.47,0.75,6.78,9.59,0.87,20.89,0.64,0.63,21.41,3.27,0.15,0.63,0.13,0.01,0.14,402,19,43,33,20,15,10,10,50,21.1579,20.1,12.1818,1.7368,2.15,1.65,0.4545,0.75,1.0526,0.5,0.5,0.303,2.5,1.5152,4
39,7,1.6,4.83,0.173,39,234,108,178,106,686,246,365,232,0.53,0.64,0.46,0.33,12.78,2.53,234,35,40.2,36.5,0.34,0.7,6.32,8.93,0.84,17.22,0.49,0.48,27.3,3.69,0.16,0.45,0.09,0.02,0.12,672,39,93,63,41,22,21,13,76,17.2308,16.3902,10.6667,1.6154,2.2683,1.5366,0.3492,0.5366,1.0513,0.5122,0.3171,0.2063,1.8537,1.2063,4
21,2,1.44,4.28,0.0772,19,151,48,110,46,275,66,146,62,0.53,0.42,0.32,0.43,7.71,1.96,151,35,39.8,39,0.55,0.76,6.44,9.11,0.89,22.85,0.75,0.74,22.88,3.38,0.21,0.74,0.12,0.04,0.16,271,19,36,23,22,5,5,3,29,14.2632,12.3182,11.7826,1.2105,1.6364,1.0455,0.2174,0.2273,1.1579,0.2273,0.1364,0.1304,1.3182,1.2609,4
62,5,1.54,4.55,0.0818,41,309,123,232,114,737,180,391,165,0.53,0.42,0.4,0.37,16.27,2.85,309,37,40.7,40.2,0.42,0.76,8.05,11.38,0.87,21.78,0.59,0.65,49.82,4.99,0.2,0.54,0.13,0.02,0.14,735,41,101,65,43,26,19,23,78,17.9268,17.093,11.3077,1.5854,2.3488,1.5116,0.4,0.6047,1.0488,0.4419,0.5349,0.3538,1.814,1.2,4
68,5,1.63,4.78,0.0897,63,348,155,268,147,922,278,476,256,0.52,0.54,0.45,0.37,19.78,3.14,348,42,41.2,40.5,0.38,0.82,8.1,11.46,0.86,20.77,0.56,0.58,47.35,4.87,0.17,0.57,0.09,0.02,0.11,902,63,123,102,60,39,25,21,108,14.3175,15.0333,8.8431,1.619,2.05,1.7,0.3824,0.65,0.9524,0.4167,0.35,0.2059,1.8,1.0588,4
25,3,1.46,4.4,0.0795,22,185,63,131,57,366,90,186,81,0.51,0.44,0.34,0.33,6.67,1.83,185,39,40.4,40.2,0.51,0.79,6.84,9.67,0.88,22.18,0.7,0.77,35.27,4.2,0.25,0.63,0.12,0.02,0.14,363,22,56,34,21,15,11,10,38,16.5,17.2857,10.6765,1.5455,2.6667,1.619,0.4412,0.7143,0.9545,0.5238,0.4762,0.2941,1.8095,1.1176,4
46,3,1.48,4.44,0.0721,40,350,164,277,155,708,224,386,204,0.55,0.53,0.47,0.38,15.56,2.79,350,41,41.6,41.4,0.49,0.81,9.3,13.15,0.89,26.55,0.72,0.7,53.48,5.17,0.2,0.73,0.12,0.03,0.15,696,40,97,63,43,23,19,29,87,17.4,16.186,11.0476,1.575,2.2558,1.4651,0.3651,0.5349,1.075,0.4419,0.6744,0.4603,2.0233,1.381,4
15,3,1.62,4.84,0.1656,9,114,42,79,40,180,58,98,52,0.54,0.53,0.37,0.46,5.54,1.66,114,37,40.8,40.1,0.63,0.79,6.01,8.5,0.91,25.64,0.81,0.81,16.96,2.91,0.21,0.8,0.12,0.02,0.14,174,9,23,14,8,7,5,7,21,19.3333,21.75,12.4286,1.5556,2.875,1.75,0.5,0.875,0.8889,0.625,0.875,0.5,2.625,1.5,4
14,2,1.57,4.64,0.1014,8,124,55,90,52,180,71,112,65,0.62,0.58,0.44,0.33,2,1,124,45,45.2,40.2,0.69,0.83,6.54,9.24,0.93,31.43,0.8,0.83,12.5,2.5,0.13,0.79,0.1,0,0.1,175,8,17,10,8,3,3,8,19,21.875,21.875,17.5,1.25,2.125,1.25,0.3,0.375,1,0.375,1,0.8,2.375,1.9,4
50,4,1.64,5.01,0.1084,22,281,148,221,143,538,216,318,203,0.59,0.64,0.53,0.48,22.54,3.36,281,37,44.3,40.5,0.52,0.83,8.57,12.11,0.9,26.44,0.69,0.64,40.5,4.5,0.2,0.71,0.07,0.01,0.08,526,22,81,51,33,20,19,18,51,23.9091,15.9394,10.3137,2.3182,2.4545,1.5455,0.3922,0.6061,1.5,0.5758,0.5455,0.3529,1.5455,1,4
18,3,1.45,4.52,0.1388,16,139,54,94,49,244,70,128,60,0.52,0.47,0.39,0.36,5.36,1.64,139,41,41.6,39.3,0.57,0.82,6.29,8.9,0.9,23.32,0.73,0.74,22.88,3.38,0.24,0.73,0.12,0,0.12,238,16,36,23,17,10,9,9,21,14.875,14,10.3478,1.4375,2.1176,1.3529,0.4348,0.5882,1.0625,0.5294,0.5294,0.3913,1.2353,0.913,4
146,6,1.52,4.5,0.038,103,728,416,612,403,1942,714,1049,665,0.54,0.63,0.57,0.38,46.74,4.83,728,42,41.9,40.4,0.37,0.8,11.68,16.52,0.87,25.37,0.58,0.5,82.75,6.43,0.16,0.61,0.09,0.01,0.11,1908,103,258,198,124,73,48,80,184,18.5243,15.3871,9.6364,1.9223,2.0806,1.5968,0.3687,0.5887,1.2039,0.3871,0.6452,0.404,1.4839,0.9293,4
11,2,1.53,4.53,0.1185,10,97,37,66,33,152,48,86,42,0.57,0.49,0.38,0.42,4.65,1.53,97,41,41.3,40.5,0.64,0.8,5.56,7.87,0.91,24.4,0.77,0.77,15.38,2.77,0.23,0.75,0.13,0.02,0.15,148,10,22,14,10,6,5,2,17,14.8,14.8,10.5714,1.4,2.2,1.4,0.4286,0.6,1,0.5,0.2,0.1429,1.7,1.2143,4
45,4,1.51,4.47,0.1077,30,247,99,179,94,544,126,268,115,0.49,0.43,0.4,0.34,10.34,2.27,247,42,40.8,40.2,0.45,0.8,7.49,10.59,0.87,21.82,0.67,0.68,40.01,4.47,0.22,0.67,0.08,0,0.08,540,30,78,53,32,22,18,29,59,18,16.875,10.1887,1.7667,2.4375,1.6562,0.4151,0.6875,1.0667,0.5625,0.9062,0.5472,1.8438,1.1132,4
34,4,1.64,4.88,0.1335,26,196,87,140,84,386,129,205,123,0.53,0.6,0.44,0.52,17.52,2.96,196,42,41.7,40.9,0.51,0.81,7.05,9.98,0.89,22.73,0.68,0.7,32.06,4,0.22,0.65,0.1,0.02,0.12,382,26,57,44,28,20,15,7,43,14.6923,13.6429,8.6818,1.6923,2.0357,1.5714,0.4545,0.7143,1.0769,0.5357,0.25,0.1591,1.5357,0.9773,4
35,3,1.73,5.3,0.0898,13,178,85,135,81,278,115,176,107,0.63,0.61,0.48,0.43,8.2,2.03,178,37,42.4,42.2,0.64,0.84,7.55,10.68,0.92,30.85,0.77,0.82,29.45,3.84,0.2,0.73,0.09,0.01,0.1,271,13,36,24,15,10,10,9,22,20.8462,18.0667,11.2917,1.8462,2.4,1.6,0.4167,0.6667,1.1538,0.6667,0.6,0.375,1.4667,0.9167,4
18,2,1.49,4.49,0.1229,11,149,56,106,53,267,85,143,72,0.54,0.5,0.38,0.41,8.16,2.02,149,36,41,37.1,0.56,0.76,6.45,9.12,0.9,23.24,0.74,0.71,25,3.54,0.24,0.74,0.09,0.03,0.12,256,11,44,24,20,10,10,8,23,23.2727,12.8,10.6667,2.1818,2.2,1.2,0.4167,0.5,1.8182,0.5,0.4,0.3333,1.15,0.9583,4
15,3,1.6,4.83,0.1141,12,136,66,93,61,207,78,113,71,0.55,0.63,0.49,0.61,11.65,2.41,136,40,43.8,41.2,0.66,0.8,6.68,9.45,0.92,29.4,0.82,0.9,25.29,3.56,0.25,0.77,0.11,0.02,0.12,202,12,29,15,10,8,6,9,20,16.8333,20.2,13.4667,1.25,2.9,1.5,0.5333,0.8,0.8333,0.6,0.9,0.6,2,1.3333,4
17,4,1.43,4.17,0.0863,20,130,47,89,45,226,63,124,59,0.55,0.48,0.36,0.44,6.12,1.75,130,41,41,38.6,0.58,0.75,6.11,8.65,0.9,23.08,0.72,0.75,18,3,0.19,0.67,0.13,0.02,0.15,222,20,24,16,16,3,3,7,25,11.1,13.875,13.875,0.8,1.5,1,0.1875,0.1875,0.8,0.1875,0.4375,0.4375,1.5625,1.5625,4
17,2,1.49,4.45,0.1504,11,150,57,104,54,272,87,144,76,0.53,0.53,0.38,0.42,8.82,2.1,150,38,41.4,39.5,0.55,0.76,6.43,9.1,0.89,22.93,0.72,0.72,25.92,3.6,0.25,0.7,0.1,0.03,0.12,262,11,45,25,20,12,10,9,22,23.8182,13.1,10.48,2.2727,2.25,1.25,0.48,0.6,1.8182,0.5,0.45,0.36,1.1,0.88,4
97,6,1.65,4.94,0.0698,61,418,180,338,174,1019,296,545,269,0.53,0.49,0.43,0.4,23.04,3.39,418,46,40.4,39.1,0.41,0.82,9.26,13.09,0.87,23.38,0.62,0.61,54.25,5.21,0.16,0.62,0.1,0.02,0.11,1005,61,121,91,62,29,24,31,129,16.4754,16.2097,11.044,1.4918,1.9516,1.4677,0.3187,0.4677,1.0164,0.3871,0.5,0.3407,2.0806,1.4176,4
45,4,1.63,4.95,0.0976,32,259,112,201,107,493,161,279,145,0.57,0.52,0.43,0.39,11.69,2.42,259,46,42.9,42.8,0.53,0.85,8.25,11.66,0.9,25.94,0.72,0.7,37.87,4.35,0.19,0.72,0.14,0.01,0.15,481,32,65,44,33,13,12,14,54,15.0312,14.5758,10.9318,1.375,1.9697,1.3333,0.2955,0.3939,1.0312,0.3636,0.4242,0.3182,1.6364,1.2273,4
10,2,1.55,4.64,0.113,8,86,32,58,27,130,40,76,33,0.58,0.43,0.37,0.32,2.23,1.06,86,42,40.1,41.2,0.66,0.82,5.33,7.54,0.92,24.9,0.76,0.77,13.14,2.56,0.22,0.74,0.13,0,0.13,126,8,19,12,8,6,4,6,13,15.75,15.75,10.5,1.5,2.375,1.5,0.5,0.75,1,0.5,0.75,0.5,1.625,1.0833,4
20,3,1.57,4.62,0.0627,19,177,76,131,72,297,95,166,89,0.56,0.54,0.43,0.4,6.72,1.83,177,41,42.9,38.3,0.6,0.8,7.26,10.27,0.91,27.2,0.79,0.74,23.81,3.45,0.19,0.78,0.14,0.02,0.16,293,19,37,27,22,7,7,14,27,15.4211,13.3182,10.8519,1.4211,1.6818,1.2273,0.2593,0.3182,1.1579,0.3182,0.6364,0.5185,1.2273,1,4
21,4,1.39,4.35,0.0735,24,170,61,112,56,338,100,178,91,0.53,0.51,0.36,0.39,10.57,2.3,170,38,41.8,37.2,0.5,0.76,6.54,9.25,0.88,21.43,0.63,0.64,28.06,3.75,0.25,0.59,0.06,0.04,0.1,334,24,58,36,26,13,11,8,29,13.9167,12.8462,9.2778,1.5,2.2308,1.3846,0.3611,0.5,1.0833,0.4231,0.3077,0.2222,1.1154,0.8056,4
28,5,1.59,4.8,0.1559,25,161,62,113,60,444,141,227,131,0.51,0.58,0.39,0.29,6.61,1.82,161,35,38.2,34.2,0.36,0.68,5.4,7.64,0.83,15.91,0.5,0.51,21.01,3.24,0.18,0.46,0.09,0.01,0.1,434,25,59,36,25,12,12,14,42,17.36,17.36,12.0556,1.44,2.36,1.44,0.3333,0.48,1,0.48,0.56,0.3889,1.68,1.1667,4
41,3,1.62,4.86,0.1173,33,245,101,183,95,547,160,291,146,0.53,0.5,0.41,0.37,12.57,2.51,245,37,40.9,38.7,0.45,0.81,7.41,10.48,0.87,21.49,0.63,0.62,35.32,4.2,0.2,0.62,0.12,0.03,0.15,541,33,82,54,33,20,15,19,52,16.3939,16.3939,10.0185,1.6364,2.4848,1.6364,0.3704,0.6061,1,0.4545,0.5758,0.3519,1.5758,0.963,4
21,4,1.64,4.82,0.1714,17,150,66,110,64,275,103,161,97,0.59,0.6,0.44,0.43,8.2,2.03,150,39,42.8,41.6,0.55,0.8,6.4,9.05,0.89,22.6,0.68,0.7,21.84,3.3,0.19,0.68,0.12,0.02,0.14,269,17,35,27,18,11,11,9,29,15.8235,14.9444,9.963,1.5882,1.9444,1.5,0.4074,0.6111,1.0588,0.6111,0.5,0.3333,1.6111,1.0741,4
19,3,1.54,4.59,0.1122,13,128,48,91,45,227,66,130,61,0.57,0.47,0.38,0.41,6.08,1.74,128,32,41,41.2,0.56,0.77,6.01,8.5,0.89,22.31,0.7,0.81,24.32,3.49,0.23,0.64,0.12,0.02,0.13,224,13,33,19,12,8,7,9,27,17.2308,18.6667,11.7895,1.4615,2.75,1.5833,0.4211,0.6667,0.9231,0.5833,0.75,0.4737,2.25,1.4211,4
41,5,1.53,4.45,0.1558,25,209,90,145,88,572,217,289,185,0.51,0.64,0.43,0.35,10.8,2.32,209,41,39.2,36.1,0.37,0.69,6.18,8.74,0.84,17.39,0.5,0.53,24.82,3.52,0.16,0.47,0.07,0.02,0.09,566,25,76,50,32,18,17,9,71,22.64,17.6875,11.32,2,2.375,1.5625,0.36,0.5625,1.28,0.5312,0.2812,0.18,2.2188,1.42,4
60,6,1.42,4.4,0.022,53,317,103,221,97,847,203,438,190,0.52,0.43,0.32,0.37,16.27,2.85,317,41,40.7,39.7,0.37,0.79,7.7,10.89,0.85,20.08,0.5,0.61,44.78,4.73,0.17,0.44,0.09,0.01,0.11,839,53,112,88,56,34,27,21,89,15.8302,14.9821,9.5341,1.6604,2,1.5714,0.3864,0.6071,1.0566,0.4821,0.375,0.2386,1.5893,1.0114,4
30,3,1.46,4.51,0.0629,24,175,59,127,56,334,91,191,85,0.57,0.45,0.34,0.4,8,2,175,41,40.9,39.5,0.52,0.79,6.77,9.58,0.89,22.69,0.66,0.66,21.78,3.3,0.17,0.64,0.12,0.02,0.14,330,24,43,31,23,12,9,12,34,13.75,14.3478,10.6452,1.2917,1.8696,1.3478,0.3871,0.5217,0.9583,0.3913,0.5217,0.3871,1.4783,1.0968,4
11,3,1.49,4.57,0.2055,11,97,34,71,32,166,58,95,48,0.57,0.51,0.35,0.42,4.65,1.53,97,35,40.9,40.5,0.58,0.75,5.32,7.53,0.89,21.12,0.75,0.88,20.35,3.19,0.24,0.68,0.16,0.01,0.17,156,11,21,12,11,6,5,5,18,14.1818,14.1818,13,1.0909,1.9091,1.0909,0.5,0.5455,1,0.4545,0.4545,0.4167,1.6364,1.5,4
4,2,1.66,5.11,0.0357,2,62,36,44,33,76,40,48,36,0.63,0.75,0.58,0,0,0,62,44,43.5,42.4,0.82,0.88,5.03,7.11,0.95,40.01,0.92,1,2,1,0.04,0.91,0.02,0,0.02,72,2,3,2,2,0,0,1,9,36,36,36,1,1.5,1,0,0,1,0,0.5,0.5,4.5,4.5,4
45,3,1.48,4.45,0.0596,34,314,146,244,138,619,197,334,181,0.54,0.54,0.46,0.4,14.88,2.73,314,43,42.7,40.5,0.51,0.82,8.92,12.62,0.89,26.44,0.73,0.73,48.79,4.94,0.2,0.74,0.13,0.03,0.16,609,34,82,55,36,19,15,24,83,17.9118,16.9167,11.0727,1.6176,2.2778,1.5278,0.3455,0.5278,1.0588,0.4167,0.6667,0.4364,2.3056,1.5091,4
10,2,1.56,4.71,0.127,11,93,31,62,29,140,40,80,36,0.57,0.45,0.33,0.43,3.86,1.39,93,43,41.3,39.6,0.66,0.87,5.56,7.86,0.92,25.93,0.78,0.86,15.43,2.78,0.23,0.72,0.11,0.03,0.14,136,11,19,11,10,5,4,3,13,12.3636,13.6,12.3636,1,1.9,1.1,0.4545,0.5,0.9091,0.4,0.3,0.2727,1.3,1.1818,4
