 numsyl, avgchar,awl,ld,ttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,class_y
1.49,4.58,0.0761,0.53,0.43,7.83,11.07,0.87,21.85,0.64,0.7,50.33,5.02,0.21,0.61,0.09,0.02,0.11,4
1.7,5.03,0.1114,0.56,0.5,7.6,10.75,0.89,23.43,0.67,0.72,37.96,4.36,0.2,0.62,0.15,0.03,0.18,4
1.48,4.41,0.2295,0.56,0.52,6.66,9.43,0.89,22.18,0.67,0.76,23.44,3.42,0.16,0.63,0.13,0.01,0.14,4
1.46,4.52,0.1186,0.57,0.54,6.2,8.76,0.89,22.05,0.71,0.65,18.23,3.02,0.19,0.73,0.13,0.02,0.15,4
1.46,4.43,0.0794,0.53,0.64,6.64,9.39,0.92,28.01,0.82,0.9,24.3,3.49,0.23,0.77,0.14,0.01,0.15,4
1.5,4.52,0.1586,0.51,0.31,7.7,10.88,0.83,18.7,0.47,0.47,48.89,4.94,0.16,0.49,0.06,0.02,0.08,4
1.68,4.92,0.1278,0.57,0.51,5.91,8.35,0.88,20.15,0.64,0.67,20.89,3.23,0.2,0.65,0.09,0.01,0.1,4
1.66,5.05,0.0988,0.6,0.58,7.8,11.02,0.91,27.89,0.75,0.82,37.79,4.35,0.22,0.73,0.11,0.02,0.13,4
1.55,4.55,0.1081,0.58,0.67,6,8.49,0.92,27.72,0.77,0.77,17.63,2.97,0.24,0.7,0.16,0.04,0.2,4
1.63,4.78,0.1234,0.58,0.53,7.98,11.28,0.9,25.81,0.73,0.66,26.23,3.62,0.16,0.73,0.15,0.02,0.17,4
1.57,4.69,0.2759,0.58,0.58,5.16,7.3,0.89,20.4,0.7,0.8,16,2.83,0.22,0.64,0.16,0.01,0.17,4
1.48,4.5,0.092,0.55,0.58,7.85,11.1,0.91,27.82,0.81,0.81,39.05,4.42,0.24,0.79,0.14,0.03,0.17,4
1.45,4.29,0.0893,0.57,0.59,5.71,8.07,0.9,22.42,0.76,0.72,18.78,3.06,0.24,0.74,0.13,0.06,0.19,4
1.33,4.19,0.0528,0.49,0.42,7.42,10.5,0.86,20.64,0.63,0.56,36.42,4.27,0.21,0.65,0.14,0.04,0.18,5
1.38,4.15,0.1,0.46,0.59,5.3,7.5,0.89,21.09,0.72,0.71,15.61,2.79,0.29,0.69,0.13,0,0.13,5
1.4,4.26,0.0376,0.49,0.46,6.55,9.26,0.87,20.07,0.63,0.52,23.05,3.39,0.22,0.66,0.13,0.04,0.17,5
1.39,4.28,0.1045,0.49,0.43,4.95,7,0.85,16.03,0.5,0.51,10.26,2.26,0.15,0.47,0.09,0.01,0.1,5
1.41,4.36,0.1522,0.5,0.65,4.62,6.53,0.91,21.34,0.76,0.89,14.22,2.67,0.31,0.65,0.16,0,0.16,5
1.59,4.81,0.0935,0.59,0.5,4.64,6.56,0.87,16.6,0.57,0.56,10.12,2.25,0.18,0.54,0.1,0.01,0.11,5
1.4,4.26,0.1133,0.52,0.5,6.4,9.06,0.88,21.13,0.71,0.68,27.12,3.68,0.24,0.69,0.1,0.03,0.13,5
1.55,4.47,0.0683,0.57,0.54,5.78,8.18,0.89,20.79,0.64,0.54,10.31,2.27,0.15,0.66,0.14,0.02,0.15,5
1.47,4.48,0.1287,0.55,0.7,5.3,7.49,0.93,27.51,0.81,0.88,13.24,2.57,0.24,0.76,0.16,0,0.16,5
1.56,4.74,0.2791,0.6,0.63,5.4,7.64,0.91,23.64,0.72,0.76,16.69,2.89,0.25,0.73,0.14,0.03,0.17,5
1.48,4.44,0.0898,0.49,0.48,5.77,8.16,0.87,19.06,0.64,0.67,24.89,3.53,0.26,0.55,0.11,0.01,0.13,5
1.53,4.63,0.2475,0.57,0.57,6.11,8.65,0.9,22.71,0.68,0.62,14.3,2.67,0.17,0.64,0.14,0.02,0.17,5
1.35,4.02,0.0608,0.5,0.44,7.84,11.08,0.87,22.09,0.66,0.72,58.98,5.43,0.26,0.59,0.1,0.02,0.12,5
1.5,4.59,0.1911,0.54,0.59,5.5,7.78,0.9,22.02,0.7,0.84,21.81,3.3,0.28,0.62,0.13,0.01,0.14,5
1.39,4.26,0.0818,0.51,0.55,5.58,7.89,0.89,20.45,0.65,0.77,15.38,2.77,0.19,0.58,0.1,0.01,0.11,5
1.44,4.34,0.0644,0.55,0.56,6.76,9.56,0.9,24.12,0.71,0.75,30.19,3.89,0.25,0.67,0.09,0.01,0.11,5
1.49,4.52,0.18,0.58,0.69,5.23,7.4,0.92,26.56,0.82,0.84,13.47,2.6,0.24,0.79,0.15,0.02,0.17,5
1.38,4.16,0.065,0.47,0.5,5.39,7.62,0.87,18.48,0.67,0.62,12.97,2.55,0.19,0.69,0.15,0.01,0.16,5
1.34,4.18,0.0643,0.54,0.48,7.03,9.94,0.88,21.89,0.66,0.62,33.52,4.09,0.24,0.64,0.09,0.05,0.14,5
1.41,4.3,0.0636,0.51,0.51,6.44,9.11,0.88,21.42,0.66,0.68,24.45,3.5,0.22,0.62,0.09,0.02,0.11,5
1.45,4.4,0.1021,0.53,0.57,6.46,9.13,0.9,23.68,0.72,0.76,24.38,3.49,0.23,0.63,0.17,0.02,0.19,5
1.42,4.32,0.1196,0.48,0.52,5.76,8.15,0.88,20.2,0.72,0.72,24.6,3.51,0.29,0.66,0.15,0.02,0.16,5
1.48,4.52,0.1596,0.58,0.68,4.9,6.93,0.92,24.04,0.79,0.84,13.47,2.6,0.26,0.75,0.13,0,0.13,5
1.5,4.46,0.1191,0.51,0.51,5.99,8.47,0.88,20.46,0.65,0.8,26.56,3.64,0.24,0.59,0.14,0.01,0.15,5
1.58,4.73,0.1313,0.54,0.65,4.9,6.93,0.91,22.54,0.73,0.86,10.29,2.27,0.19,0.66,0.16,0,0.16,5
1.47,4.36,0.0969,0.49,0.53,5.57,7.87,0.88,19.9,0.65,0.7,16.03,2.83,0.21,0.69,0.14,0,0.14,5
1.47,4.32,0.1417,0.56,0.62,5.03,7.11,0.9,21.48,0.76,0.76,12.19,2.47,0.22,0.77,0.19,0,0.19,5
1.48,4.48,0.1444,0.5,0.65,4.6,6.5,0.91,21.38,0.78,0.93,13.07,2.56,0.28,0.68,0.16,0,0.16,5
1.43,4.32,0.0785,0.45,0.46,5.19,7.34,0.86,17.24,0.61,0.65,14.24,2.67,0.19,0.56,0.13,0,0.13,5
1.47,4.4,0.1581,0.55,0.54,6.01,8.5,0.89,21.27,0.66,0.63,16.49,2.87,0.19,0.64,0.14,0.01,0.15,5
1.46,4.24,0.1544,0.51,0.62,5.47,7.74,0.91,23.31,0.77,0.76,14.44,2.69,0.24,0.79,0.15,0,0.15,5
1.46,4.48,0.1262,0.54,0.55,7.16,10.13,0.9,24.59,0.73,0.7,35.63,4.22,0.28,0.68,0.16,0.02,0.18,5
1.38,4.25,0.1275,0.51,0.62,4.66,6.59,0.9,20.27,0.79,0.89,14.22,2.67,0.28,0.71,0.17,0,0.17,5
1.38,4.29,0.125,0.54,0.67,5.01,7.09,0.92,24.11,0.82,0.95,17.05,2.92,0.3,0.71,0.18,0,0.18,5
1.41,4.3,0.1929,0.52,0.62,5.43,7.69,0.9,22.81,0.8,0.81,17.93,2.99,0.27,0.76,0.14,0.04,0.17,5
1.55,4.47,0.1156,0.51,0.48,5.09,7.2,0.86,17.27,0.58,0.47,8.53,2.06,0.16,0.63,0.1,0.01,0.11,5
1.67,5.02,0.1472,0.48,0.42,4.07,5.76,0.83,13.74,0.54,0.88,13.24,2.57,0.16,0.39,0.11,0,0.11,5
1.43,4.32,0.0935,0.51,0.61,5.38,7.61,0.9,22.33,0.74,0.71,12.04,2.45,0.21,0.74,0.12,0,0.12,5
1.38,4.08,0.1632,0.41,0.38,4.75,6.72,0.83,14.8,0.52,0.61,15.24,2.76,0.19,0.41,0.09,0,0.09,5
1.45,4.31,0.1611,0.46,0.46,5.3,7.5,0.86,17.37,0.59,0.71,19.18,3.1,0.22,0.51,0.1,0.01,0.11,5
1.51,4.62,0.0484,0.58,0.49,6.83,9.66,0.88,21.6,0.61,0.73,38.08,4.36,0.23,0.52,0.05,0.04,0.09,5
1.48,4.3,0.0496,0.51,0.37,4.69,6.63,0.83,14.55,0.44,0.47,11.79,2.43,0.15,0.4,0.1,0.02,0.12,5
1.46,4.43,0.144,0.56,0.67,5.52,7.8,0.92,26.09,0.84,0.88,20.35,3.19,0.3,0.79,0.17,0.01,0.18,5
1.45,4.42,0.1477,0.51,0.65,4.57,6.46,0.91,21.43,0.76,0.88,13.24,2.57,0.3,0.65,0.16,0,0.16,5
1.39,4.3,0.1727,0.51,0.45,7,9.9,0.87,20.77,0.62,0.65,31.14,3.95,0.2,0.62,0.11,0.03,0.14,5
1.5,4.42,0.1413,0.54,0.65,4.71,6.67,0.91,22.05,0.77,0.93,13.07,2.56,0.25,0.68,0.14,0,0.14,5
1.58,4.57,0.2222,0.57,0.7,4.97,7.03,0.92,25.64,0.79,0.87,11.27,2.37,0.22,0.71,0.22,0,0.22,5
1.47,4.55,0.1734,0.54,0.56,6.87,9.71,0.9,24.28,0.71,0.77,30.77,3.92,0.24,0.64,0.15,0.04,0.19,5
1.5,4.54,0.1589,0.59,0.63,4.97,7.03,0.91,22.08,0.73,0.89,14.22,2.67,0.22,0.64,0.12,0,0.12,5
1.46,4.38,0.0399,0.52,0.2,6.52,9.22,0.79,15.84,0.3,0.32,43.32,4.65,0.12,0.27,0.04,0.01,0.05,5
1.36,4.19,0.0668,0.46,0.47,9.4,13.3,0.89,25.78,0.77,0.74,64.14,5.66,0.24,0.79,0.16,0.04,0.19,5
1.44,4.51,0.2202,0.56,0.58,5.56,7.87,0.9,21.62,0.75,0.75,15.75,2.81,0.2,0.74,0.15,0.02,0.17,5
1.32,4.23,0.0445,0.49,0.42,9.13,12.92,0.87,23.54,0.66,0.69,67.21,5.8,0.21,0.66,0.1,0.01,0.12,5
1.38,3.99,0.1206,0.48,0.49,4.9,6.93,0.87,17.09,0.66,0.72,12.96,2.55,0.19,0.59,0.14,0,0.14,5
1.45,4.34,0.1868,0.52,0.66,4.62,6.53,0.91,21.8,0.78,0.93,13.07,2.56,0.27,0.69,0.16,0,0.16,5
1.61,4.87,0.1563,0.59,0.63,5.37,7.59,0.91,23.08,0.76,0.9,16.2,2.85,0.21,0.67,0.13,0.01,0.14,5
1.46,4.48,0.1471,0.57,0.67,5.08,7.18,0.92,24.38,0.8,0.9,17.19,2.93,0.29,0.77,0.17,0,0.17,5
1.45,4.29,0.1603,0.51,0.54,4.61,6.52,0.88,17.42,0.69,0.67,9.33,2.16,0.19,0.68,0.13,0,0.13,5
1.46,4.36,0.1074,0.55,0.64,5.29,7.49,0.91,23.78,0.77,0.77,13.14,2.56,0.23,0.72,0.18,0.01,0.19,5
1.47,4.38,0.134,0.53,0.62,4.61,6.51,0.9,20.26,0.72,0.84,13.47,2.6,0.28,0.65,0.17,0,0.17,5
1.45,4.55,0.178,0.54,0.66,5.35,7.57,0.91,24.84,0.79,0.87,17.39,2.95,0.28,0.75,0.14,0,0.14,5
1.48,4.55,0.1032,0.48,0.54,4.94,6.98,0.88,18.33,0.67,0.64,11.57,2.41,0.22,0.64,0.11,0,0.11,5
1.54,4.52,0.1318,0.53,0.63,5.51,7.79,0.91,23.85,0.77,0.83,16.67,2.89,0.25,0.73,0.19,0.01,0.2,5
1.44,4.59,0.0794,0.52,0.52,5.66,8,0.88,19.75,0.65,0.64,18.69,3.06,0.23,0.66,0.12,0.02,0.15,5
1.4,4.33,0.1226,0.53,0.65,5.01,7.09,0.91,23.15,0.81,0.91,18.18,3.02,0.32,0.71,0.15,0.02,0.16,5
1.37,4.2,0.0797,0.46,0.46,6.09,8.61,0.87,19.19,0.65,0.64,21.81,3.3,0.21,0.62,0.11,0.01,0.12,5
1.46,4.52,0.25,0.57,0.58,4.79,6.77,0.89,19.3,0.69,0.78,16.33,2.86,0.27,0.66,0.13,0,0.13,5
1.48,4.51,0.0621,0.51,0.46,7.64,10.8,0.88,22.22,0.66,0.65,38.71,4.4,0.21,0.64,0.15,0.03,0.18,5
1.47,4.55,0.1048,0.48,0.5,6.97,9.86,0.88,22.24,0.69,0.65,25.35,3.56,0.21,0.74,0.12,0.03,0.14,5
1.39,4.17,0.15,0.53,0.63,5.13,7.25,0.91,22.62,0.75,0.74,12.57,2.51,0.25,0.72,0.16,0.01,0.17,5
1.53,4.56,0.2115,0.55,0.65,5.01,7.09,0.91,23.15,0.8,0.84,13.47,2.6,0.25,0.76,0.2,0.02,0.22,5
1.43,4.32,0.1444,0.53,0.65,4.6,6.5,0.91,21.38,0.77,0.88,13.24,2.57,0.28,0.67,0.19,0,0.19,5
1.45,4.53,0.1957,0.48,0.42,4.98,7.04,0.84,15.84,0.5,0.56,10.62,2.3,0.14,0.49,0.12,0,0.12,5
1.51,4.56,0.1407,0.5,0.5,6.76,9.57,0.88,21.74,0.7,0.67,24.89,3.53,0.2,0.71,0.13,0.01,0.13,5
1.46,4.57,0.0866,0.55,0.54,6.2,8.77,0.89,21.98,0.69,0.65,23.56,3.43,0.25,0.73,0.14,0.01,0.15,5
1.5,4.48,0.1709,0.54,0.69,5.68,8.03,0.93,28.52,0.81,0.81,13.76,2.62,0.24,0.78,0.17,0,0.17,5
1.51,4.79,0.1273,0.59,0.66,5.31,7.51,0.91,24.53,0.74,0.86,15.43,2.78,0.23,0.74,0.13,0,0.13,5
1.54,4.56,0.0642,0.56,0.57,6.29,8.89,0.9,23.43,0.76,0.71,25.41,3.56,0.27,0.77,0.15,0.04,0.19,5
1.41,4.25,0.1429,0.5,0.62,4.43,6.27,0.9,19.6,0.75,0.83,12.5,2.5,0.29,0.65,0.16,0,0.16,5
1.45,4.43,0.1954,0.53,0.66,4.59,6.5,0.91,21.86,0.78,0.94,16.06,2.83,0.33,0.65,0.16,0,0.16,5
1.38,4.07,0.1316,0.54,0.59,6.05,8.55,0.9,23.73,0.74,0.68,16.89,2.91,0.22,0.75,0.2,0.03,0.22,5
1.42,4.27,0.0823,0.53,0.54,8.06,11.4,0.9,26.18,0.75,0.71,41.02,4.53,0.24,0.78,0.12,0.02,0.13,5
1.46,4.41,0.0931,0.52,0.62,6.59,9.32,0.91,26.44,0.81,0.84,30.14,3.88,0.3,0.76,0.13,0.04,0.17,5
1.41,4.17,0.0867,0.41,0.53,5.35,7.56,0.88,19.31,0.7,0.83,16.67,2.89,0.24,0.61,0.15,0,0.15,5
1.48,4.49,0.1531,0.54,0.65,4.79,6.77,0.91,21.92,0.78,0.86,16.41,2.86,0.32,0.7,0.14,0,0.14,5
1.33,4.04,0.169,0.53,0.42,6,8.49,0.85,18.04,0.54,0.57,23.35,3.42,0.19,0.5,0.12,0.01,0.13,5
1.46,4.45,0.1204,0.54,0.66,5.19,7.33,0.91,24.47,0.77,0.84,13.47,2.6,0.24,0.73,0.17,0,0.17,5
1.45,4.31,0.1491,0.5,0.57,5.53,7.82,0.89,21.29,0.74,0.69,16.46,2.87,0.26,0.76,0.13,0.02,0.15,5
1.42,4.44,0.0691,0.5,0.51,7.06,9.99,0.89,22.9,0.69,0.61,31.81,3.99,0.27,0.74,0.1,0.03,0.13,5
1.39,4.37,0.0841,0.5,0.46,6.39,9.04,0.87,19.75,0.55,0.52,20.28,3.18,0.2,0.51,0.12,0.02,0.13,5
1.49,4.24,0.1244,0.54,0.41,4.92,6.96,0.84,15.59,0.51,0.59,13.08,2.56,0.14,0.47,0.1,0,0.1,5
1.47,4.37,0.1413,0.56,0.68,4.92,6.96,0.92,24.54,0.83,0.94,14.06,2.65,0.26,0.77,0.16,0.02,0.17,5
1.46,4.43,0.177,0.54,0.66,5.21,7.36,0.91,24.4,0.81,0.83,15.7,2.8,0.28,0.77,0.16,0.01,0.18,5
1.48,4.4,0.1413,0.51,0.66,4.69,6.63,0.91,22.1,0.77,0.88,13.24,2.57,0.29,0.67,0.15,0.02,0.17,5
1.4,4.36,0.1374,0.52,0.66,5.58,7.89,0.92,25.44,0.79,0.86,20.57,3.21,0.32,0.78,0.12,0,0.12,5
1.37,4.25,0.0563,0.44,0.48,6.48,9.16,0.87,20.5,0.56,0.54,16.07,2.83,0.19,0.53,0.12,0.01,0.12,5
1.47,4.47,0.2083,0.54,0.64,4.69,6.64,0.9,21.25,0.78,0.9,16.2,2.85,0.31,0.67,0.16,0,0.16,5
1.46,4.37,0.0734,0.5,0.58,5.72,8.09,0.9,22.13,0.71,0.74,17.06,2.92,0.23,0.67,0.13,0.02,0.15,5
1.43,4.39,0.0657,0.52,0.52,5.6,7.91,0.88,19.74,0.67,0.76,21.19,3.25,0.24,0.58,0.1,0.03,0.13,5
1.36,4.31,0.0418,0.49,0.43,9.01,12.75,0.88,23.6,0.66,0.63,73.13,6.05,0.27,0.68,0.09,0.03,0.12,5
1.47,4.55,0.0854,0.51,0.53,7.47,10.57,0.89,24.57,0.72,0.75,39.19,4.43,0.26,0.65,0.11,0.02,0.13,5
1.48,4.49,0.1189,0.54,0.61,5.62,7.95,0.9,23.09,0.72,0.73,13.88,2.63,0.21,0.69,0.14,0,0.14,5
1.42,4.37,0.1008,0.54,0.58,6.91,9.77,0.9,25.39,0.77,0.7,25.83,3.59,0.24,0.8,0.11,0.01,0.12,5
1.44,4.4,0.1429,0.51,0.64,4.57,6.47,0.9,20.99,0.75,0.82,11.53,2.4,0.27,0.67,0.17,0,0.17,5
1.44,4.34,0.1609,0.52,0.64,4.45,6.3,0.9,20.31,0.78,0.93,13.07,2.56,0.28,0.65,0.2,0,0.2,5
1.38,4.28,0.0833,0.51,0.55,5.31,7.51,0.89,19.79,0.69,0.85,18.62,3.05,0.23,0.59,0.1,0.01,0.11,5
1.52,4.46,0.1489,0.56,0.66,4.81,6.8,0.91,22.76,0.81,0.88,13.24,2.57,0.25,0.75,0.19,0.02,0.2,5
1.6,4.84,0.157,0.59,0.64,5.36,7.58,0.91,24.04,0.73,0.83,16.67,2.89,0.24,0.66,0.13,0,0.13,5
1.52,4.69,0.259,0.59,0.6,5.3,7.5,0.9,21.65,0.7,0.7,13.37,2.59,0.21,0.67,0.12,0.01,0.13,5
1.39,4.24,0.1556,0.55,0.63,5.51,7.79,0.91,23.57,0.76,0.84,17.64,2.97,0.25,0.69,0.18,0,0.18,5
1.52,4.56,0.1441,0.55,0.65,5.27,7.45,0.91,24.22,0.81,0.78,14.09,2.65,0.25,0.79,0.18,0.01,0.19,5
1.45,4.33,0.1529,0.51,0.63,4.35,6.16,0.9,19.6,0.77,0.93,13.07,2.56,0.29,0.65,0.17,0,0.17,5
1.47,4.48,0.16,0.57,0.68,5.19,7.33,0.92,25.55,0.82,0.87,11.27,2.37,0.2,0.79,0.15,0,0.15,5
1.43,4.3,0.1646,0.52,0.63,4.17,5.9,0.9,18.89,0.76,0.93,12.07,2.46,0.29,0.62,0.18,0,0.18,5
1.46,4.47,0.2517,0.54,0.6,5.47,7.74,0.9,22.18,0.7,0.7,13.37,2.59,0.21,0.69,0.18,0.01,0.19,5
1.42,4.3,0.1092,0.57,0.69,5.58,7.89,0.92,27.98,0.8,0.83,15.7,2.8,0.26,0.74,0.19,0,0.19,5
1.46,4.37,0.1573,0.53,0.65,4.55,6.43,0.91,21.02,0.79,0.94,14.06,2.65,0.29,0.68,0.17,0,0.17,5
1.45,4.3,0.1531,0.57,0.67,5.01,7.09,0.92,24.11,0.81,0.84,13.47,2.6,0.25,0.79,0.12,0.02,0.14,5
1.43,4.33,0.1477,0.51,0.65,4.57,6.46,0.91,21.43,0.78,0.93,13.07,2.56,0.28,0.68,0.16,0,0.16,5
1.43,4.3,0.1429,0.5,0.56,5.02,7.09,0.89,19.28,0.73,0.76,14.44,2.69,0.23,0.67,0.14,0.01,0.15,5
1.42,4.38,0.1477,0.51,0.65,4.57,6.46,0.91,21.43,0.78,0.94,15.06,2.74,0.32,0.64,0.18,0,0.18,5
1.5,4.51,0.1416,0.58,0.67,5.35,7.57,0.92,25.3,0.8,0.9,16.2,2.85,0.24,0.78,0.12,0.03,0.15,5
1.39,4.26,0.0688,0.54,0.52,8.02,11.34,0.9,25.43,0.68,0.67,45.33,4.76,0.27,0.69,0.09,0.04,0.13,5
1.42,4.34,0.1413,0.5,0.65,4.62,6.53,0.91,21.34,0.78,0.94,14.06,2.65,0.29,0.67,0.16,0.02,0.18,5
1.45,4.44,0.0854,0.5,0.6,6.02,8.51,0.9,23.88,0.76,0.69,16.46,2.87,0.24,0.78,0.18,0.02,0.2,5
1.54,4.55,0.2062,0.54,0.65,4.88,6.9,0.91,22.59,0.79,0.94,16.06,2.83,0.28,0.7,0.16,0,0.16,5
1.42,4.28,0.1,0.52,0.64,5.44,7.69,0.91,24.25,0.81,0.9,17.19,2.93,0.25,0.74,0.17,0.01,0.19,5
1.52,4.67,0.1313,0.54,0.65,4.9,6.93,0.91,22.54,0.73,0.86,10.29,2.27,0.19,0.65,0.15,0,0.15,5
1.57,4.73,0.177,0.55,0.66,5.25,7.42,0.91,24.27,0.8,0.8,12.8,2.53,0.23,0.78,0.17,0,0.17,5
1.32,4.04,0.0966,0.5,0.43,7.52,10.63,0.87,21.17,0.63,0.6,46.8,4.84,0.26,0.63,0.09,0.04,0.12,5
1.54,4.71,0.163,0.54,0.67,4.85,6.86,0.91,23.66,0.8,0.94,14.06,2.65,0.27,0.72,0.14,0.02,0.16,5
1.42,4.27,0.104,0.56,0.64,5.42,7.67,0.91,23.94,0.8,0.9,17.19,2.93,0.24,0.74,0.11,0.01,0.12,5
1.39,4.17,0.2042,0.52,0.46,4.96,7.02,0.86,16.52,0.56,0.64,11.57,2.41,0.15,0.5,0.09,0,0.09,5
1.44,4.41,0.0547,0.53,0.53,7.79,11.02,0.89,25.08,0.71,0.64,31.18,3.95,0.21,0.73,0.13,0.03,0.16,5
1.39,4.3,0.0891,0.49,0.53,6.9,9.76,0.89,23.07,0.76,0.74,30.95,3.93,0.25,0.74,0.18,0.02,0.2,5
1.48,4.6,0.1261,0.54,0.67,5.35,7.57,0.92,25.3,0.83,0.94,16.06,2.83,0.24,0.78,0.13,0,0.13,5
1.46,4.17,0.129,0.48,0.46,5.21,7.38,0.86,17.24,0.58,0.6,14.4,2.68,0.19,0.52,0.1,0.01,0.1,5
1.47,4.51,0.1065,0.55,0.59,5.69,8.04,0.9,22.4,0.74,0.76,18.94,3.08,0.24,0.7,0.13,0.01,0.14,5
1.31,3.92,0.1111,0.48,0.42,4.99,7.05,0.85,15.96,0.56,0.55,12.1,2.46,0.16,0.55,0.11,0,0.11,5
1.51,4.56,0.1579,0.52,0.65,4.81,6.8,0.91,22.3,0.74,0.79,11.84,2.43,0.26,0.64,0.18,0.02,0.19,5
1.44,4.26,0.122,0.52,0.51,4.98,7.04,0.87,17.78,0.65,0.72,12.96,2.55,0.18,0.6,0.15,0.01,0.16,5
1.41,4.3,0.0699,0.49,0.43,8.72,12.33,0.87,23.2,0.63,0.57,45.71,4.78,0.2,0.64,0.13,0.02,0.15,5
1.4,4.32,0.1004,0.45,0.45,5.69,8.04,0.86,18,0.63,0.7,19.6,3.13,0.19,0.55,0.14,0.02,0.16,5
1.5,4.47,0.115,0.55,0.64,5.12,7.25,0.91,22.96,0.76,0.75,11.25,2.37,0.21,0.73,0.16,0,0.16,5
1.45,4.36,0.128,0.47,0.55,5.16,7.3,0.89,19.58,0.73,0.78,14.09,2.65,0.22,0.7,0.11,0,0.11,5
1.32,4.02,0.1193,0.52,0.53,5.47,7.74,0.88,19.69,0.66,0.75,18,3,0.22,0.63,0.1,0.02,0.12,5
1.4,4.04,0.1504,0.51,0.6,4.76,6.74,0.9,20.07,0.73,0.81,13.76,2.62,0.27,0.62,0.19,0.02,0.21,5
1.47,4.35,0.1636,0.53,0.64,5.11,7.22,0.91,22.64,0.78,0.81,10.56,2.3,0.19,0.76,0.14,0,0.14,5
1.4,4.21,0.1238,0.56,0.67,5.16,7.3,0.92,24.55,0.82,0.85,14.45,2.69,0.25,0.79,0.15,0.01,0.16,5
1.5,4.52,0.1485,0.54,0.69,5.14,7.28,0.92,25.81,0.79,0.89,15.21,2.76,0.28,0.7,0.15,0.02,0.16,5
1.43,4.38,0.1975,0.54,0.68,4.67,6.6,0.92,23.32,0.8,0.93,12.07,2.46,0.25,0.74,0.16,0,0.16,5
1.45,4.16,0.1326,0.43,0.49,5.27,7.45,0.87,18.07,0.67,0.61,11.65,2.41,0.19,0.73,0.14,0.01,0.15,5
1.37,4.24,0.1473,0.5,0.57,4.99,7.06,0.89,19.64,0.68,0.65,9.78,2.21,0.2,0.67,0.12,0,0.12,5
1.43,4.36,0.0506,0.49,0.21,6.5,9.19,0.79,15.9,0.32,0.31,34.65,4.16,0.12,0.3,0.06,0.01,0.07,5
1.43,4.46,0.0966,0.53,0.64,6.38,9.03,0.92,27.35,0.79,0.79,24.64,3.51,0.3,0.77,0.12,0.03,0.15,5
1.42,4.39,0.2037,0.58,0.7,5.48,7.75,0.93,28.1,0.85,0.94,16.06,2.83,0.24,0.79,0.17,0,0.17,5
1.41,4.09,0.1119,0.49,0.6,5.15,7.28,0.9,21.31,0.79,0.79,15.04,2.74,0.27,0.74,0.18,0.01,0.2,5
1.4,4.25,0.191,0.51,0.65,4.55,6.43,0.91,21.02,0.74,0.82,11.53,2.4,0.28,0.65,0.16,0,0.16,5
1.43,4.31,0.1744,0.52,0.65,4.47,6.33,0.9,20.69,0.78,0.94,15.06,2.74,0.32,0.64,0.18,0,0.18,5
1.37,4.11,0.1215,0.54,0.6,4.74,6.71,0.89,19.82,0.71,0.78,10.89,2.33,0.21,0.62,0.16,0,0.16,5
1.43,4.37,0.0743,0.51,0.61,6.02,8.52,0.91,24.66,0.77,0.86,26.69,3.65,0.32,0.69,0.12,0.05,0.18,5
1.44,4.47,0.0461,0.51,0.47,6.94,9.81,0.87,21.1,0.64,0.63,28.52,3.78,0.2,0.62,0.15,0.03,0.18,5
1.58,4.62,0.0929,0.55,0.58,5.95,8.42,0.9,22.86,0.71,0.74,18.38,3.03,0.22,0.69,0.18,0.03,0.21,5
1.45,4.41,0.1304,0.54,0.59,6.72,9.51,0.91,25.48,0.76,0.83,28.2,3.75,0.24,0.68,0.15,0,0.15,5
1.38,4.24,0.098,0.55,0.43,5.94,8.4,0.86,18.2,0.56,0.49,16.01,2.83,0.16,0.58,0.13,0.02,0.15,5
1.43,4.3,0.0564,0.53,0.54,7.24,10.25,0.89,24.23,0.74,0.67,37.78,4.35,0.29,0.76,0.12,0.04,0.15,5
1.5,4.65,0.0855,0.51,0.41,5.89,8.33,0.85,17.72,0.55,0.55,18.15,3.01,0.16,0.52,0.12,0.01,0.13,5
1.34,4.34,0.1074,0.54,0.49,6.18,8.73,0.88,20.27,0.63,0.55,19.14,3.09,0.2,0.66,0.12,0.01,0.13,5
1.42,4.3,0.0846,0.54,0.6,7.37,10.42,0.91,27.52,0.83,0.79,33.28,4.08,0.25,0.82,0.16,0.03,0.19,5
1.52,4.6,0.1475,0.55,0.61,5.07,7.18,0.9,21.49,0.75,0.84,13.47,2.6,0.21,0.73,0.14,0,0.14,5
1.44,4.31,0.1532,0.54,0.66,5.16,7.3,0.91,24.08,0.84,0.9,17.19,2.93,0.28,0.8,0.13,0,0.13,5
1.31,4.09,0.0633,0.47,0.43,6.49,9.18,0.86,19.35,0.61,0.57,29.71,3.85,0.25,0.62,0.15,0.01,0.16,5
1.51,4.39,0.1066,0.54,0.62,5.31,7.51,0.9,22.55,0.74,0.8,12.8,2.53,0.2,0.7,0.15,0.01,0.16,5
1.52,4.6,0.1535,0.5,0.54,6.05,8.56,0.89,21.36,0.7,0.73,17.45,2.95,0.19,0.67,0.11,0,0.11,5
1.37,4.18,0.0646,0.49,0.53,7.53,10.64,0.89,24.5,0.73,0.63,33.44,4.09,0.27,0.8,0.12,0.03,0.14,5
