W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen, numsyl, avgchar,awl,ld,ttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,class_y
100,6,16,10,6,4,4,3,9,16.6667,16.6667,10,1.6667,2.6667,1.6667,0.4,0.6667,1,0.6667,0.5,0.3,1.5,0.9,5.17,2.83,1.17,1.61,1.76,1,1.54,4.71,0.163,0.54,0.67,4.85,6.86,0.91,23.66,0.8,0.94,14.06,2.65,0.27,0.72,0.14,0.02,0.16,5
140,11,22,14,11,5,4,2,16,12.7273,12.7273,10,1.2727,2,1.2727,0.3571,0.4545,1,0.3636,0.1818,0.1429,1.4545,1.1429,4.2,2.4,1.5,1.88,1.54,1,1.42,4.27,0.104,0.56,0.64,5.42,7.67,0.91,23.94,0.8,0.9,17.19,2.93,0.24,0.74,0.11,0.01,0.12,5
234,13,31,21,13,9,7,1,32,18,18,11.1429,1.6154,2.3846,1.6154,0.4286,0.6923,1,0.5385,0.0769,0.0476,2.4615,1.5238,5.85,2.15,1.77,2.12,1.54,1,1.39,4.17,0.2042,0.52,0.46,4.96,7.02,0.86,16.52,0.56,0.64,11.57,2.41,0.15,0.5,0.09,0,0.09,5
418,29,59,45,27,18,14,12,47,14.4138,15.4815,9.2889,1.5517,2.1852,1.6667,0.4,0.6667,0.931,0.5185,0.4444,0.2667,1.7407,1.0444,5.45,2.28,1.45,1.66,1.64,1,1.44,4.41,0.0547,0.53,0.53,7.79,11.02,0.89,25.08,0.71,0.64,31.18,3.95,0.21,0.73,0.13,0.03,0.16,5
329,22,48,34,21,13,9,11,32,14.9545,15.6667,9.6765,1.5455,2.2857,1.619,0.3824,0.619,0.9545,0.4286,0.5238,0.3235,1.5238,0.9412,4.09,2.18,1.32,1.82,1.65,1,1.39,4.3,0.0891,0.49,0.53,6.9,9.76,0.89,23.07,0.76,0.74,30.95,3.93,0.25,0.74,0.18,0.02,0.2,5
125,8,17,9,6,4,3,3,12,15.625,20.8333,13.8889,1.125,2.8333,1.5,0.4444,0.6667,0.75,0.5,0.5,0.3333,2,1.3333,3.88,2.13,1,1.84,2,1,1.48,4.6,0.1261,0.54,0.67,5.35,7.57,0.92,25.3,0.83,0.94,16.06,2.83,0.24,0.78,0.13,0,0.13,5
256,14,39,21,15,9,6,3,35,18.2857,17.0667,12.1905,1.5,2.6,1.4,0.4286,0.6,1.0714,0.4,0.2,0.1429,2.3333,1.6667,6.29,2.36,1.93,1.93,1.48,1,1.46,4.17,0.129,0.48,0.46,5.21,7.38,0.86,17.24,0.58,0.6,14.4,2.68,0.19,0.52,0.1,0.01,0.1,5
183,10,25,14,9,5,4,7,19,18.3,20.3333,13.0714,1.4,2.7778,1.5556,0.3571,0.5556,0.9,0.4444,0.7778,0.5,2.1111,1.3571,5,3.2,1.7,1.86,1.72,1,1.47,4.51,0.1065,0.55,0.59,5.69,8.04,0.9,22.4,0.74,0.76,18.94,3.08,0.24,0.7,0.13,0.01,0.14,5
273,11,40,27,10,14,5,5,39,24.8182,27.3,10.1111,2.4545,4,2.7,0.5185,1.4,0.9091,0.5,0.5,0.1852,3.9,1.4444,8.91,3.36,2.91,1.96,1.41,1,1.31,3.92,0.1111,0.48,0.42,4.99,7.05,0.85,15.96,0.56,0.55,12.1,2.46,0.16,0.55,0.11,0,0.11,5
105,6,17,10,5,6,4,3,12,17.5,21,10.5,1.6667,3.4,2,0.6,1.2,0.8333,0.8,0.6,0.3,2.4,1.2,5,2.83,1.33,1.73,1.94,1,1.51,4.56,0.1579,0.52,0.65,4.81,6.8,0.91,22.3,0.74,0.79,11.84,2.43,0.26,0.64,0.18,0.02,0.19,5
182,12,24,19,12,6,5,3,27,15.1667,15.1667,9.5789,1.5833,2,1.5833,0.3158,0.5,1,0.4167,0.25,0.1579,2.25,1.4211,4.17,1.83,1.58,2.02,1.68,1,1.44,4.26,0.122,0.52,0.51,4.98,7.04,0.87,17.78,0.65,0.72,12.96,2.55,0.18,0.6,0.15,0.01,0.16,5
790,65,99,76,53,28,22,19,91,12.1538,14.9057,10.3947,1.1692,1.8679,1.434,0.3684,0.5283,0.8154,0.4151,0.3585,0.25,1.717,1.1974,4.26,1.78,1.22,1.76,1.69,1,1.41,4.3,0.0699,0.49,0.43,8.72,12.33,0.87,23.2,0.63,0.57,45.71,4.78,0.2,0.64,0.13,0.02,0.15,5
311,18,41,31,18,13,8,8,34,17.2778,17.2778,10.0323,1.7222,2.2778,1.7222,0.4194,0.7222,1,0.4444,0.4444,0.2581,1.8889,1.0968,5.17,2.44,1.83,1.78,1.61,1,1.4,4.32,0.1004,0.45,0.45,5.69,8.04,0.86,18,0.63,0.7,19.6,3.13,0.19,0.55,0.14,0.02,0.16,5
122,9,19,12,8,5,4,2,14,13.5556,15.25,10.1667,1.3333,2.375,1.5,0.4167,0.625,0.8889,0.5,0.25,0.1667,1.75,1.1667,4.22,2.11,1.22,1.74,1.63,1,1.5,4.47,0.115,0.55,0.64,5.12,7.25,0.91,22.96,0.76,0.75,11.25,2.37,0.21,0.73,0.16,0,0.16,5
171,10,22,16,10,7,4,2,16,17.1,17.1,10.6875,1.6,2.2,1.6,0.4375,0.7,1,0.4,0.2,0.125,1.6,1,4.6,2.4,1.3,2.24,1.67,1,1.45,4.36,0.128,0.47,0.55,5.16,7.3,0.89,19.58,0.73,0.78,14.09,2.65,0.22,0.7,0.11,0,0.11,5
214,12,34,17,11,7,5,1,22,17.8333,19.4545,12.5882,1.4167,3.0909,1.5455,0.4118,0.6364,0.9167,0.4545,0.0909,0.0588,2,1.2941,6.45,2.73,2.09,1.61,1.77,1.04,1.32,4.02,0.1193,0.52,0.53,5.47,7.74,0.88,19.69,0.66,0.75,18,3,0.22,0.63,0.1,0.02,0.12,5
120,6,19,11,7,5,4,2,16,20,17.1429,10.9091,1.8333,2.7143,1.5714,0.4545,0.7143,1.1667,0.5714,0.2857,0.1818,2.2857,1.4545,5.33,2.67,1.83,1.84,2.06,1,1.4,4.04,0.1504,0.51,0.6,4.76,6.74,0.9,20.07,0.73,0.81,13.76,2.62,0.27,0.62,0.19,0.02,0.21,5
125,9,16,11,9,3,3,2,16,13.8889,13.8889,11.3636,1.2222,1.7778,1.2222,0.2727,0.3333,1,0.3333,0.2222,0.1818,1.7778,1.4545,3.56,1.89,1.56,1.91,1.71,1,1.47,4.35,0.1636,0.53,0.64,5.11,7.22,0.91,22.64,0.78,0.81,10.56,2.3,0.19,0.76,0.14,0,0.14,5
116,8,18,11,8,4,4,1,13,14.5,14.5,10.5455,1.375,2.25,1.375,0.3636,0.5,1,0.5,0.125,0.0909,1.625,1.1818,3.63,2.13,1.38,2.07,1.94,1,1.4,4.21,0.1238,0.56,0.67,5.16,7.3,0.92,24.55,0.82,0.85,14.45,2.69,0.25,0.79,0.15,0.01,0.16,5
108,9,19,13,9,5,4,4,11,12,12,8.3077,1.4444,2.1111,1.4444,0.3846,0.5556,1,0.4444,0.4444,0.3077,1.2222,0.8462,3.11,1.67,1.11,1.82,1.93,1,1.5,4.52,0.1485,0.54,0.69,5.14,7.28,0.92,25.81,0.79,0.89,15.21,2.76,0.28,0.7,0.15,0.02,0.16,5
90,7,14,9,7,3,3,1,9,12.8571,12.8571,10,1.2857,2,1.2857,0.3333,0.4286,1,0.4286,0.1429,0.1111,1.2857,1,3,2,1.14,2,1.79,1,1.43,4.38,0.1975,0.54,0.68,4.67,6.6,0.92,23.32,0.8,0.93,12.07,2.46,0.25,0.74,0.16,0,0.16,5
230,14,34,25,13,13,9,4,17,16.4286,17.6923,9.2,1.7857,2.6154,1.9231,0.52,1,0.9286,0.6923,0.3077,0.16,1.3077,0.68,5.43,2.14,1.07,1.49,1.7,1,1.45,4.16,0.1326,0.43,0.49,5.27,7.45,0.87,18.07,0.67,0.61,11.65,2.41,0.19,0.73,0.14,0.01,0.15,5
149,11,24,15,12,3,3,2,14,13.5455,12.4167,9.9333,1.3636,2,1.25,0.2,0.25,1.0909,0.25,0.1667,0.1333,1.1667,0.9333,3.64,2,1.18,1.93,1.77,1,1.37,4.24,0.1473,0.5,0.57,4.99,7.06,0.89,19.64,0.68,0.65,9.78,2.21,0.2,0.67,0.12,0,0.12,5
1856,113,318,251,117,122,82,24,239,16.4248,15.8632,7.3944,2.2212,2.7179,2.1453,0.4861,1.0427,1.0354,0.7009,0.2051,0.0956,2.0427,0.9522,5.89,2.71,1.5,1.54,1.66,1,1.43,4.36,0.0506,0.49,0.21,6.5,9.19,0.79,15.9,0.32,0.31,34.65,4.16,0.12,0.3,0.06,0.01,0.07,5
194,13,34,19,14,6,4,4,15,14.9231,13.8571,10.2105,1.4615,2.4286,1.3571,0.3158,0.4286,1.0769,0.2857,0.2857,0.2105,1.0714,0.7895,4.69,2.69,0.92,1.66,1.91,1,1.43,4.46,0.0966,0.53,0.64,6.38,9.03,0.92,27.35,0.79,0.79,24.64,3.51,0.3,0.77,0.12,0.03,0.15,5
119,11,18,14,10,5,4,4,14,10.8182,11.9,8.5,1.2727,1.8,1.4,0.3571,0.5,0.9091,0.4,0.4,0.2857,1.4,1,2.82,1.64,0.82,1.87,1.56,1,1.42,4.39,0.2037,0.58,0.7,5.48,7.75,0.93,28.1,0.85,0.94,16.06,2.83,0.24,0.79,0.17,0,0.17,5
142,9,24,15,9,7,5,2,15,15.7778,15.7778,9.4667,1.6667,2.6667,1.6667,0.4667,0.7778,1,0.5556,0.2222,0.1333,1.6667,1,4.44,2.11,1.22,1.77,1.84,1,1.41,4.09,0.1119,0.49,0.6,5.15,7.28,0.9,21.31,0.79,0.79,15.04,2.74,0.27,0.74,0.18,0.01,0.2,5
95,6,17,10,6,5,5,1,9,15.8333,15.8333,9.5,1.6667,2.8333,1.6667,0.5,0.8333,1,0.8333,0.1667,0.1,1.5,0.9,4.33,2.67,1.17,1.73,2.06,1,1.4,4.25,0.191,0.51,0.65,4.55,6.43,0.91,21.02,0.74,0.82,11.53,2.4,0.28,0.65,0.16,0,0.16,5
92,6,18,9,6,4,4,1,9,15.3333,15.3333,10.2222,1.5,3,1.5,0.4444,0.6667,1,0.6667,0.1667,0.1111,1.5,1,3.67,2.33,1.17,1.91,2.29,1,1.43,4.31,0.1744,0.52,0.65,4.47,6.33,0.9,20.69,0.78,0.94,15.06,2.74,0.32,0.64,0.18,0,0.18,5
121,8,15,10,8,3,3,1,16,15.125,15.125,12.1,1.25,1.875,1.25,0.3,0.375,1,0.375,0.125,0.1,2,1.6,4,2,1.75,2.09,1.75,1,1.37,4.11,0.1215,0.54,0.6,4.74,6.71,0.89,19.82,0.71,0.78,10.89,2.33,0.21,0.62,0.16,0,0.16,5
188,12,30,17,12,8,8,6,16,15.6667,15.6667,11.0588,1.4167,2.5,1.4167,0.4706,0.6667,1,0.6667,0.5,0.3529,1.3333,0.9412,4.83,2.58,1.42,1.88,1.84,1,1.43,4.37,0.0743,0.51,0.61,6.02,8.52,0.91,24.66,0.77,0.86,26.69,3.65,0.32,0.69,0.12,0.05,0.18,5
406,32,59,40,30,11,9,15,40,12.6875,13.5333,10.15,1.25,1.9667,1.3333,0.275,0.3667,0.9375,0.3,0.5,0.375,1.3333,1,3.88,1.81,0.97,1.84,1.57,1.06,1.44,4.47,0.0461,0.51,0.47,6.94,9.81,0.87,21.1,0.64,0.63,28.52,3.78,0.2,0.62,0.15,0.03,0.18,5
204,13,29,19,14,8,7,3,27,15.6923,14.5714,10.7368,1.4615,2.0714,1.3571,0.4211,0.5714,1.0769,0.5,0.2143,0.1579,1.9286,1.4211,4.15,2.38,1.23,2.28,1.77,1.06,1.58,4.62,0.0929,0.55,0.58,5.95,8.42,0.9,22.86,0.71,0.74,18.38,3.03,0.22,0.69,0.18,0.03,0.21,5
255,15,33,20,14,7,5,9,25,17,18.2143,12.75,1.3333,2.3571,1.4286,0.35,0.5,0.9333,0.3571,0.6429,0.45,1.7857,1.25,5.07,2.36,1.64,1.9,1.82,1,1.45,4.41,0.1304,0.54,0.59,6.72,9.51,0.91,25.48,0.76,0.83,28.2,3.75,0.24,0.68,0.15,0,0.15,5
377,24,57,44,25,19,13,3,40,15.7083,15.08,8.5682,1.8333,2.28,1.76,0.4318,0.76,1.0417,0.52,0.12,0.0682,1.6,0.9091,5.21,2.29,1.33,1.71,2.05,1,1.38,4.24,0.098,0.55,0.43,5.94,8.4,0.86,18.2,0.56,0.49,16.01,2.83,0.16,0.58,0.13,0.02,0.15,5
362,22,66,45,33,17,17,8,31,16.4545,10.9697,8.0444,2.0455,2,1.3636,0.3778,0.5152,1.5,0.5152,0.2424,0.1778,0.9394,0.6889,5.23,2.73,1.27,1.64,1.73,1,1.43,4.3,0.0564,0.53,0.54,7.24,10.25,0.89,24.23,0.74,0.67,37.78,4.35,0.29,0.76,0.12,0.04,0.15,5
397,28,58,47,31,16,15,8,52,14.1786,12.8065,8.4468,1.6786,1.871,1.5161,0.3404,0.5161,1.1071,0.4839,0.2581,0.1702,1.6774,1.1064,4.36,2.14,1.32,1.94,1.45,1,1.5,4.65,0.0855,0.51,0.41,5.89,8.33,0.85,17.72,0.55,0.55,18.15,3.01,0.16,0.52,0.12,0.01,0.13,5
311,22,51,36,22,16,11,7,30,14.1364,14.1364,8.6389,1.6364,2.3182,1.6364,0.4444,0.7273,1,0.5,0.3182,0.1944,1.3636,0.8333,4.36,2.41,1.05,1.84,1.87,1,1.34,4.34,0.1074,0.54,0.49,6.18,8.73,0.88,20.27,0.63,0.55,19.14,3.09,0.2,0.66,0.12,0.01,0.13,5
301,19,44,27,20,12,11,6,32,15.8421,15.05,11.1481,1.4211,2.2,1.35,0.4444,0.6,1.0526,0.55,0.3,0.2222,1.6,1.1852,4.84,2.53,0.89,1.99,1.67,1,1.42,4.3,0.0846,0.54,0.6,7.37,10.42,0.91,27.52,0.83,0.79,33.28,4.08,0.25,0.82,0.16,0.03,0.19,5
133,10,19,13,10,4,4,2,18,13.3,13.3,10.2308,1.3,1.9,1.3,0.3077,0.4,1,0.4,0.2,0.1538,1.8,1.3846,3.9,2,1.7,2.18,1.6,1,1.52,4.6,0.1475,0.55,0.61,5.07,7.18,0.9,21.49,0.75,0.84,13.47,2.6,0.21,0.73,0.14,0,0.14,5
119,10,18,12,10,3,3,4,12,11.9,11.9,9.9167,1.2,1.8,1.2,0.25,0.3,1,0.3,0.4,0.3333,1.2,1,2.8,1.8,1.1,1.82,1.94,1,1.44,4.31,0.1532,0.54,0.66,5.16,7.3,0.91,24.08,0.84,0.9,17.19,2.93,0.28,0.8,0.13,0,0.13,5
441,23,94,47,34,19,16,12,38,19.1739,12.9706,9.383,2.0435,2.7647,1.3824,0.4043,0.5588,1.4783,0.4706,0.3529,0.2553,1.1176,0.8085,6.48,4.04,1,1.5,1.89,1,1.31,4.09,0.0633,0.47,0.43,6.49,9.18,0.86,19.35,0.61,0.57,29.71,3.85,0.25,0.62,0.15,0.01,0.16,5
143,9,22,13,10,4,3,2,16,15.8889,14.3,11,1.4444,2.2,1.3,0.3077,0.4,1.1111,0.3,0.2,0.1538,1.6,1.2308,4.78,2.22,1.44,1.77,1.7,1,1.51,4.39,0.1066,0.54,0.62,5.31,7.51,0.9,22.55,0.74,0.8,12.8,2.53,0.2,0.7,0.15,0.01,0.16,5
241,14,29,16,13,6,4,9,29,17.2143,18.5385,15.0625,1.1429,2.2308,1.2308,0.375,0.4615,0.9286,0.3077,0.6923,0.5625,2.2308,1.8125,5.14,2.29,1.64,1.93,1.56,1,1.52,4.6,0.1535,0.5,0.54,6.05,8.56,0.89,21.36,0.7,0.73,17.45,2.95,0.19,0.67,0.11,0,0.11,5
398,28,76,48,39,15,15,7,36,14.2143,10.2051,8.2917,1.7143,1.9487,1.2308,0.3125,0.3846,1.3929,0.3846,0.1795,0.1458,0.9231,0.75,4.48,2.41,1,1.55,1.83,1.03,1.37,4.18,0.0646,0.49,0.53,7.53,10.64,0.89,24.5,0.73,0.63,33.44,4.09,0.27,0.8,0.12,0.03,0.14,5
235,17,40,27,18,9,8,7,27,13.8235,13.0556,8.7037,1.5882,2.2222,1.5,0.3333,0.5,1.0588,0.4444,0.3889,0.2593,1.5,1,4.12,1.71,1.47,1.79,1.93,1,1.36,4.14,0.0644,0.54,0.5,5.49,7.76,0.87,18.91,0.61,0.61,17.04,2.92,0.22,0.55,0.11,0.02,0.12,5
328,23,46,37,23,15,13,14,33,14.2609,14.2609,8.8649,1.6087,2,1.6087,0.4054,0.6522,1,0.5652,0.6087,0.3784,1.4348,0.8919,4.43,1.78,1.3,1.82,1.63,1,1.62,4.77,0.0814,0.61,0.51,6.64,9.38,0.88,21.95,0.61,0.67,24,3.46,0.18,0.53,0.11,0.01,0.13,5
145,12,27,16,12,5,5,4,18,12.0833,12.0833,9.0625,1.3333,2.25,1.3333,0.3125,0.4167,1,0.4167,0.3333,0.25,1.5,1.125,4.08,1.92,1.17,1.8,1.57,1,1.42,4.29,0.1508,0.55,0.62,5.35,7.57,0.9,22.56,0.76,0.81,17.93,2.99,0.27,0.7,0.11,0.01,0.12,5
236,13,36,24,17,8,9,5,31,18.1538,13.8824,9.8333,1.8462,2.1176,1.4118,0.3333,0.4706,1.3077,0.5294,0.2941,0.2083,1.8235,1.2917,5.54,2.46,1.38,2.04,1.66,1,1.55,4.67,0.1604,0.56,0.61,6.66,9.42,0.91,26.25,0.72,0.72,22.35,3.34,0.23,0.7,0.12,0.01,0.13,5
137,7,22,11,9,5,4,3,14,19.5714,15.2222,12.4545,1.5714,2.4444,1.2222,0.4545,0.5556,1.2857,0.4444,0.3333,0.2727,1.5556,1.2727,5.43,3.14,1.57,2,1.64,1,1.44,4.54,0.2913,0.57,0.6,5.06,7.16,0.9,21.02,0.72,0.75,15.75,2.81,0.26,0.71,0.12,0.01,0.14,5
109,9,16,12,9,4,4,2,13,12.1111,12.1111,9.0833,1.3333,1.7778,1.3333,0.3333,0.4444,1,0.4444,0.2222,0.1667,1.4444,1.0833,3.11,1.78,1,2.14,1.75,1,1.49,4.66,0.1414,0.58,0.67,5.06,7.15,0.92,24.47,0.77,0.88,13.24,2.57,0.23,0.71,0.17,0,0.17,5
212,13,30,22,13,10,9,5,21,16.3077,16.3077,9.6364,1.6923,2.3077,1.6923,0.4545,0.7692,1,0.6923,0.3846,0.2273,1.6154,0.9545,6.17,2.58,1.5,1.85,1.65,1.11,1.51,4.3,0.2711,0.51,0.5,5.29,7.48,0.87,18.47,0.54,0.58,10.94,2.34,0.17,0.58,0.09,0.03,0.12,5
95,6,17,10,6,5,5,1,11,15.8333,15.8333,9.5,1.6667,2.8333,1.6667,0.5,0.8333,1,0.8333,0.1667,0.1,1.8333,1.1,4,2.5,1.17,2,2.07,1,1.49,4.43,0.1705,0.52,0.65,4.55,6.43,0.91,21.02,0.76,0.88,12.25,2.47,0.27,0.65,0.2,0,0.2,5
222,15,33,25,16,8,6,7,28,14.8,13.875,8.88,1.6667,2.0625,1.5625,0.32,0.5,1.0667,0.375,0.4375,0.28,1.75,1.12,4.67,2.47,1.07,1.77,1.54,1,1.54,4.53,0.0781,0.58,0.58,6.23,8.82,0.9,23.62,0.66,0.55,11.61,2.41,0.16,0.7,0.14,0.01,0.14,5
124,10,22,14,10,5,5,2,15,12.4,12.4,8.8571,1.4,2.2,1.4,0.3571,0.5,1,0.5,0.2,0.1429,1.5,1.0714,3.4,2.1,0.9,1.97,1.71,1,1.47,4.61,0.115,0.58,0.68,5.44,7.69,0.92,26.48,0.78,0.85,14.45,2.69,0.23,0.76,0.16,0,0.16,5
249,17,38,27,20,10,8,5,29,14.6471,12.45,9.2222,1.5882,1.9,1.35,0.3704,0.5,1.1765,0.4,0.25,0.1852,1.45,1.0741,4.65,2.24,1.47,1.62,1.68,1,1.38,4.25,0.0708,0.49,0.49,5.54,7.83,0.87,18.61,0.57,0.6,14.4,2.68,0.19,0.58,0.12,0.02,0.14,5
108,7,20,11,8,5,6,2,10,15.4286,13.5,9.8182,1.5714,2.5,1.375,0.4545,0.625,1.1429,0.75,0.25,0.1818,1.25,0.9091,4.14,2.29,1.14,1.93,1.94,1,1.38,4.29,0.125,0.54,0.67,5.01,7.09,0.92,24.11,0.82,0.95,17.05,2.92,0.3,0.71,0.18,0,0.18,5
93,6,16,9,6,4,4,1,9,15.5,15.5,10.3333,1.5,2.6667,1.5,0.4444,0.6667,1,0.6667,0.1667,0.1111,1.5,1,4.17,2.5,1.17,1.84,2,1,1.4,4.24,0.1839,0.51,0.66,4.59,6.5,0.91,21.86,0.78,0.93,13.07,2.56,0.29,0.67,0.16,0,0.16,5
105,8,15,10,8,3,3,3,12,13.125,13.125,10.5,1.25,1.875,1.25,0.3,0.375,1,0.375,0.375,0.3,1.5,1.2,3.13,1.75,1.38,1.88,1.86,1,1.43,4.22,0.1649,0.52,0.67,4.94,6.99,0.91,23.84,0.82,0.94,14.06,2.65,0.26,0.77,0.16,0,0.16,5
210,12,35,24,9,13,8,7,18,17.5,23.3333,8.75,2,3.8889,2.6667,0.5417,1.4444,0.75,0.8889,0.7778,0.2917,2,0.75,5.42,3,1.42,1.57,1.86,1,1.47,4.56,0.1036,0.5,0.57,5.95,8.41,0.9,22.58,0.75,0.78,24.98,3.53,0.3,0.7,0.11,0.02,0.13,5
96,6,17,9,6,4,4,1,11,16,16,10.6667,1.5,2.8333,1.5,0.4444,0.6667,1,0.6667,0.1667,0.1111,1.8333,1.2222,4.17,2.33,1.5,1.84,2.14,1,1.43,4.29,0.1444,0.51,0.65,4.6,6.5,0.91,21.38,0.76,0.93,13.07,2.56,0.27,0.62,0.2,0,0.2,5
113,8,19,11,8,4,4,1,15,14.125,14.125,10.2727,1.375,2.375,1.375,0.3636,0.5,1,0.5,0.125,0.0909,1.875,1.3636,3.75,2.25,1.13,2.13,1.72,1,1.38,4.23,0.1569,0.56,0.65,4.97,7.03,0.91,22.83,0.77,0.78,10.89,2.33,0.22,0.74,0.15,0,0.15,5
116,9,18,12,8,5,4,2,12,12.8889,14.5,9.6667,1.3333,2.25,1.5,0.4167,0.625,0.8889,0.5,0.25,0.1667,1.5,1,3.67,2.22,1.11,1.76,1.65,1,1.46,4.6,0.1509,0.57,0.68,5.29,7.49,0.92,26.14,0.78,0.77,13.14,2.56,0.25,0.78,0.13,0,0.13,5
128,7,18,9,6,4,3,3,13,18.2857,21.3333,14.2222,1.2857,3,1.5,0.4444,0.6667,0.8571,0.5,0.5,0.3333,2.1667,1.4444,4.43,2.43,1.29,2.03,2,1,1.47,4.52,0.1466,0.52,0.64,5.17,7.31,0.91,22.91,0.81,0.95,19.05,3.09,0.29,0.77,0.14,0,0.14,5
135,9,20,13,9,5,5,3,11,15,15,10.3846,1.4444,2.2222,1.4444,0.3846,0.5556,1,0.5556,0.3333,0.2308,1.2222,0.8462,4.33,2.22,1.22,1.77,1.75,1,1.49,4.5,0.168,0.55,0.65,5.4,7.63,0.91,24.33,0.79,0.95,18.05,3,0.25,0.73,0.12,0,0.12,5
191,15,30,19,14,5,5,7,15,12.7333,13.6429,10.0526,1.2667,2.1429,1.3571,0.2632,0.3571,0.9333,0.3571,0.5,0.3684,1.0714,0.7895,3.8,2.07,0.8,1.68,1.84,1,1.45,4.44,0.1792,0.52,0.59,5.87,8.31,0.9,23.25,0.79,0.82,23.06,3.4,0.27,0.75,0.16,0.01,0.17,5
545,35,111,71,46,31,27,7,40,15.5714,11.8478,7.6761,2.0286,2.413,1.5435,0.4366,0.6739,1.3143,0.587,0.1522,0.0986,0.8696,0.5634,5.17,3,0.77,1.49,1.97,1,1.36,4.35,0.0609,0.49,0.41,6.82,9.64,0.86,19.42,0.59,0.47,26.13,3.61,0.21,0.67,0.13,0.03,0.16,5
145,10,23,15,10,6,6,5,13,14.5,14.5,9.6667,1.5,2.3,1.5,0.4,0.6,1,0.6,0.5,0.3333,1.3,0.8667,4,2.4,1.2,1.63,1.75,1.08,1.36,4.05,0.1387,0.53,0.6,5.16,7.29,0.9,21.1,0.75,0.74,14.81,2.72,0.25,0.67,0.19,0.03,0.22,5
312,23,48,31,21,13,11,10,28,13.5652,14.8571,10.0645,1.3478,2.2857,1.4762,0.4194,0.619,0.913,0.5238,0.4762,0.3226,1.3333,0.9032,4.43,2.35,1,1.67,1.76,1,1.44,4.39,0.086,0.56,0.56,7.06,9.98,0.9,24.85,0.72,0.74,28.7,3.79,0.22,0.71,0.16,0.03,0.2,5
189,12,24,18,11,7,5,2,28,15.75,17.1818,10.5,1.5,2.1818,1.6364,0.3889,0.6364,0.9167,0.4545,0.1818,0.1111,2.5455,1.5556,4.83,2.25,1.67,1.91,1.63,1,1.42,4.28,0.0751,0.53,0.57,5.61,7.93,0.89,21.28,0.68,0.74,17.06,2.92,0.22,0.65,0.12,0.01,0.13,5
403,25,56,41,29,14,11,13,36,16.12,13.8966,9.8293,1.64,1.931,1.4138,0.3415,0.4828,1.16,0.3793,0.4483,0.3171,1.2414,0.878,5.04,2.48,1.44,1.82,1.61,1,1.42,4.44,0.0751,0.52,0.56,8.1,11.46,0.9,27.36,0.78,0.74,43.13,4.64,0.27,0.78,0.14,0.05,0.19,5
328,18,48,32,17,16,8,2,38,18.2222,19.2941,10.25,1.7778,2.8235,1.8824,0.5,0.9412,0.9444,0.4706,0.1176,0.0625,2.2353,1.1875,6.82,2.41,1.82,1.67,1.71,1,1.31,3.89,0.0782,0.42,0.42,5.32,7.52,0.85,16.66,0.58,0.68,17.79,2.98,0.19,0.51,0.1,0,0.1,5
139,11,21,15,11,5,4,1,17,12.6364,12.6364,9.2667,1.3636,1.9091,1.3636,0.3333,0.4545,1,0.3636,0.0909,0.0667,1.5455,1.1333,3.18,1.82,1.18,2.11,1.7,1,1.5,4.49,0.1488,0.53,0.59,4.99,7.06,0.89,20.14,0.75,0.81,13.76,2.62,0.22,0.71,0.14,0,0.14,5
565,37,82,61,39,21,17,19,60,15.2703,14.4872,9.2623,1.6486,2.1026,1.5641,0.3443,0.5385,1.0541,0.4359,0.4872,0.3115,1.5385,0.9836,4.68,2.13,1.66,1.87,1.72,1,1.46,4.43,0.1283,0.57,0.39,6.68,9.44,0.85,18.83,0.5,0.5,26.75,3.66,0.17,0.48,0.1,0.01,0.11,5
178,15,29,22,16,6,6,7,17,11.8667,11.125,8.0909,1.4667,1.8125,1.375,0.2727,0.375,1.0667,0.375,0.4375,0.3182,1.0625,0.7727,3.4,1.8,0.73,1.98,1.52,1,1.46,4.49,0.1013,0.53,0.51,4.9,6.93,0.87,17.59,0.64,0.64,11.57,2.41,0.19,0.64,0.14,0.01,0.15,5
100,7,15,9,7,3,3,4,11,14.2857,14.2857,11.1111,1.2857,2.1429,1.2857,0.3333,0.4286,1,0.4286,0.5714,0.4444,1.5714,1.2222,3.43,2.29,1.29,1.83,1.81,1,1.54,4.61,0.163,0.58,0.66,4.78,6.77,0.91,22.83,0.8,0.82,11.53,2.4,0.23,0.77,0.15,0.02,0.17,5
283,18,46,20,18,6,6,3,28,15.7222,15.7222,14.15,1.1111,2.5556,1.1111,0.3,0.3333,1,0.3333,0.1667,0.15,1.5556,1.4,5.11,2.22,2.17,1.77,1.63,1,1.41,4.11,0.2213,0.47,0.43,5.18,7.32,0.85,16.58,0.52,0.56,15.19,2.76,0.2,0.58,0.1,0.01,0.11,5
231,10,30,17,10,6,7,3,27,23.1,23.1,13.5882,1.7,3,1.7,0.3529,0.6,1,0.7,0.3,0.1765,2.7,1.5882,8.2,2.9,2.6,1.68,1.76,1,1.46,4.27,0.0842,0.46,0.47,5.01,7.09,0.86,16.92,0.66,0.79,20.48,3.2,0.25,0.56,0.11,0.01,0.12,5
